side,entry_date,exit_date,entries,entry_notional,exit_price,gross_pnl,fees,net_pnl,return_on_total_notional_pct
LONG,2020-08-09T00:00:00+00:00,2020-08-13T00:00:00+00:00,3,300.0,11566.056326000002,-5.562781970869429,0.2972186090145653,-5.8600005798839945,-1.9533335266279983
LONG,2020-08-14T00:00:00+00:00,2020-08-20T00:00:00+00:00,6,600.0,11761.527224,-8.614321908808472,0.5956928390455958,-9.21001474785407,-1.5350024579756782
LONG,2020-10-23T00:00:00+00:00,2020-11-27T00:00:00+00:00,34,3400.0,17151.938926,402.1923601214759,3.601096180060738,398.59126394141515,11.723272468865153
LONG,2020-11-28T00:00:00+00:00,2020-11-29T00:00:00+00:00,1,100.0,17714.196452000004,3.304600362082243,0.10165230018104113,3.202948061901202,3.202948061901202
LONG,2020-11-30T00:00:00+00:00,2020-12-09T00:00:00+00:00,9,900.0,18315.666134000003,-35.514302891535486,0.8822428485542323,-36.39654574008972,-4.044060637787747
LONG,2020-12-13T00:00:00+00:00,2021-01-12T00:00:00+00:00,30,3000.0,35399.838616,1038.9932992664153,3.519496649633208,1035.473802616782,34.5157934205594
LONG,2021-01-13T00:00:00+00:00,2021-01-14T00:00:00+00:00,1,100.0,37408.856732,9.792439620662465,0.10489621981033123,9.687543400852134,9.687543400852134
LONG,2021-01-15T00:00:00+00:00,2021-01-18T00:00:00+00:00,3,300.0,35868.544856,-11.319174430462711,0.29434041278476863,-11.61351484324748,-3.871171614415826
LONG,2021-01-19T00:00:00+00:00,2021-01-21T00:00:00+00:00,2,200.0,35492.130154000006,-4.417332187437582,0.19779133390628123,-4.615123521343863,-2.3075617606719314
LONG,2021-02-03T00:00:00+00:00,2021-02-24T00:00:00+00:00,21,2100.0,48920.223998,146.7499608845572,2.1733749804422784,144.5765859041149,6.884599328767376
LONG,2021-02-25T00:00:00+00:00,2021-02-26T00:00:00+00:00,1,100.0,47078.552406,-5.297389990384004,0.097351305004808,-5.394741295388812,-5.394741295388812
LONG,2021-03-04T00:00:00+00:00,2021-03-05T00:00:00+00:00,1,100.0,48376.092846,-3.984873943100162,0.09800756302844993,-4.0828815061286114,-4.0828815061286114
LONG,2021-03-08T00:00:00+00:00,2021-03-09T00:00:00+00:00,1,100.0,52418.944114,2.7791231679798543,0.10138956158398993,2.6777336063958646,2.6777336063958646
LONG,2021-03-10T00:00:00+00:00,2021-03-23T00:00:00+00:00,13,1300.0,54118.734088,-78.58412809858125,1.2607079359507094,-79.84483603453197,-6.141910464194766
LONG,2021-10-21T00:00:00+00:00,2021-10-28T00:00:00+00:00,1,100.0,58437.670128000005,-11.561873583649545,0.09421906320817523,-11.65609264685772,-11.65609264685772
LONG,2021-11-09T00:00:00+00:00,2021-11-13T00:00:00+00:00,2,200.0,64143.248784,-9.440440717725892,0.19527977964113707,-9.635720497367029,-4.817860248683514
SHORT,2022-05-12T00:00:00+00:00,2022-05-31T00:00:00+00:00,1,100.0,31732.8453,-9.152287952801693,0.10457614397640086,-9.256864096778095,-9.256864096778095
